filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1/img0300.png,-1,{},39,0,"{""cx"":614,""cy"":417,""name"":""point""}","{""name"":""L-wing"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,1,"{""cx"":41.677780805879905,""cy"":13.864287989146344,""name"":""point""}","{""name"":""L-wing-hinge"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,2,"{""cx"":149,""cy"":95,""name"":""point""}","{""name"":""R-wing"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,3,"{""cx"":434,""cy"":213,""name"":""point""}","{""name"":""R-wing-hinge"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,4,"{""cx"":388,""cy"":399,""name"":""point""}","{""name"":""abdomen-tip"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,5,"{""cx"":41.72729524583299,""cy"":20.53659681422117,""name"":""point""}","{""name"":""platform-tip"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,6,"{""cx"":21.49400448314889,""cy"":11.859054901218865,""name"":""point""}","{""name"":""L-platform-tip"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,7,"{""cx"":440,""cy"":394,""name"":""point""}","{""name"":""R-platform-tip"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,8,"{""cx"":449,""cy"":496,""name"":""point""}","{""name"":""platform-axis"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,9,"{""cx"":535,""cy"":256,""name"":""point""}","{""name"":""L-fBC"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,10,"{""cx"":521,""cy"":284,""name"":""point""}","{""name"":""L-fCT"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,11,"{""cx"":560,""cy"":254,""name"":""point""}","{""name"":""L-fFT"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,12,"{""cx"":549,""cy"":283,""name"":""point""}","{""name"":""L-fTT"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,13,"{""cx"":513,""cy"":340,""name"":""point""}","{""name"":""L-fLT"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,14,"{""cx"":510,""cy"":307,""name"":""point""}","{""name"":""L-mBC"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,15,"{""cx"":501,""cy"":319,""name"":""point""}","{""name"":""L-mCT"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,16,"{""cx"":516,""cy"":328,""name"":""point""}","{""name"":""L-mFT"",""instance_id"":""0""}"
1/img0300.png,-1,{},39,17,"{""cx"":539,""cy"":383,""name"":""point""}","{""name"":""L-mTT"",""instance_id"":""0""}"
